번호,파일,상황,수신자,유형,현재 문구
29,bot.ts,기기 변경 후 승인 모달 — 기기 선택 placeholder,관리자,모달 placeholder,"기기 선택"
30,bot.ts,기기 변경 후 승인 모달 — 제출 버튼,관리자,모달 버튼,"변경 후 승인"
31,bot.ts,기기 변경 후 승인 모달 — 닫기 버튼,관리자,모달 버튼,"취소"
32,bot.ts,기기 변경 후 승인 완료 — 관리자 메시지 업데이트,관리자,본문,":action_check: 기기 변경 후 승인 완료
• 대여자 : {이름}
• 신청 단말 : {모델명}({자산번호})
• 대여 기간 : {시작일} ~ {반납일}"
33,bot.ts,반납 요청 — 사용자 메시지 업데이트,사용자,본문,"반납 요청이 전달됐어요. 단말을 <@{관리자}> 자리로 가져다주세요!
• 반납 단말 : {모델명}({자산번호})"
34,bot.ts,반납 요청 — 관리자,관리자,본문,"*반납 확인 요청*
반납자: <@{user_id}>  |  {모델명}  |  {자산번호}
📋 시트 바로가기"
35,bot.ts,반납 요청 — 관리자 버튼,관리자,버튼,"반납 완료"
36,bot.ts,반납 완료 — 관리자 메시지 업데이트,관리자,본문,":action_check: 반납이 완료됐어요!
• 반납 단말 : {모델명}({자산번호})"
37,bot.ts,반납 완료 — 관리자 알림 DM,관리자,DM,"{모델명} ({자산번호}) 반납 완료
반납자: <@{user_id}>"
38,bot.ts,반납 완료 실패 — 사용자,사용자,DM,"이미 반납 처리됐거나 기록을 찾을 수 없어요."
39,bot.ts,반납 거절 — 사용자,사용자,DM,"*{모델명}({자산번호})* 반납 확인이 되지 않았어요. 관리자에게 다시 문의해주세요."
40,bot.ts,연장 신청 모달 — 제목,사용자,모달 제목,"반납일 연장 신청"
41,bot.ts,연장 신청 모달 — 기기 정보,사용자,모달 본문,"*{모델명}* ({자산번호}) 반납일 연장 신청입니다."
42,bot.ts,연장 신청 모달 — 날짜 라벨,사용자,모달 라벨,"연장 반납 예정일"
43,bot.ts,연장 신청 모달 — 날짜 placeholder,사용자,모달 placeholder,"날짜 선택"
44,bot.ts,연장 신청 모달 — 제출 버튼,사용자,모달 버튼,"신청하기"
45,bot.ts,연장 신청 모달 — 닫기 버튼,사용자,모달 버튼,"취소"
46,bot.ts,연장 신청 완료 — 사용자,사용자,본문,"반납일 연장 신청이 접수됐어요. 관리자 승인 후 확정될 예정이에요!
• 신청 단말 : {모델명}({자산번호})
• 변경 반납일 : {연장 반납일}"
47,bot.ts,연장 신청 완료 — 오늘 반납 알림 메시지 업데이트,사용자,본문,"오늘 *{모델명}({자산번호})* 반납 예정일이에요!
연장 신청이 완료됐어요. 관리자 승인 후 확정될 예정이에요."
48,bot.ts,연장 신청 완료 — 관리자 요청,관리자,본문,"*반납일 연장 승인 요청*
신청자: <@{user_id}>  |  {모델명}  |  {자산번호}
연장 반납 예정일: *{연장 반납일}*
📋 시트 바로가기"
49,bot.ts,연장 신청 완료 — 관리자 버튼: 승인,관리자,버튼,"승인"
50,bot.ts,연장 신청 완료 — 관리자 버튼: 거절,관리자,버튼,"거절"
51,bot.ts,연장 승인 — 사용자,사용자,본문,":action_check: 반납일이 연장됐어요!
• 신청 단말 : {모델명}({자산번호})
• 변경 반납 예정일 : *{연장 반납일}*
반납하시거나 연장하시려면 아래 버튼을 눌러주세요."
52,bot.ts,연장 거절 — 사용자,사용자,DM,"*{모델명}({자산번호})* 반납일 연장이 거절됐어요. 문의사항은 <@{관리자}>에게 연락해주세요."
53,bot.ts,반납 예정일 알림 (16시) — 사용자,사용자,본문,":action_calendar: 오늘은 반납 예정일입니다! 단말을 반납해주세요.
단말을 더 사용하시려면 연장 신청을 해주세요.
• 반납 단말 : {모델명}({자산번호})"
54,bot.ts,반납 리마인더 (17시) — 사용자,사용자,본문,":action_warning: 아직 반납/연장이 완료되지 않았어요. 퇴근 전에 처리해주세요!
• 반납 단말 : {모델명}({자산번호})"
55,bot.ts,반납 예정일 알림 — 버튼: 반납하기,사용자,버튼,"반납하기"
56,bot.ts,반납 예정일 알림 — 버튼: 연장하기,사용자,버튼,"연장하기"
57,bot.ts,반납 예정 목록 — 관리자 알림 DM,관리자,DM,"*오늘 반납 예정 {N}건*
• <@{Slack_ID}> — {모델명} ({자산번호})"
58,bot.ts,내부망 점검 알림 — 관리자,관리자,본문,"*📱 내부망 접속 점검 알림*

다음 단말의 내부망 접속이 필요해요:
• {기기명}"
59,bot.ts,내부망 점검 알림 — 버튼,관리자,버튼,"📋 접속 목록 시트에 추가"
60,bot.ts,내부망 목록 추가 완료 — 관리자,관리자,본문,":action_check: {N}대 목록이 시트에 추가됐어요!
날짜: {오늘날짜}
📋 시트 바로가기"
